feature,mean_abs_shap
PREV_AMT_ANNUITY_SUM,0.0037922363629684162
BUREAU_AMT_CREDIT_SUM_DEBT_MIN,0.0036988878956171795
PREV_DAYS_DECISION_SUM,0.0036584194766984637
BUREAU_DAYS_ENDDATE_FACT_MEAN,0.0036331822630110283
PREV_AMT_CREDIT_MAX,0.003563570759179563
BUREAU_BB_MONTHS_BALANCE_COUNT_MEAN,0.0035226896834799214
YEARS_BEGINEXPLUATATION_AVG,0.003509062987141519
BUREAU_BB_MONTHS_BALANCE_COUNT_SUM,0.003447279177504477
ORGANIZATION_TYPE_Kindergarten,0.003414679449645115
LIVINGAPARTMENTS_MEDI,0.0033546939330732924
PREV_AMT_CREDIT_SUM,0.0033535187528443843
APARTMENTS_MODE,0.003341624994423821
BUREAU_BB_MONTHS_BALANCE_MEAN_MIN,0.003330327930288425
PREV_AMT_GOODS_PRICE_MAX,0.0033151231881085983
BUREAU_AMT_ANNUITY_MEAN,0.0033131568837217293
WEEKDAY_APPR_PROCESS_START_MONDAY,0.0032028435496115944
PREV_AMT_CREDIT_MIN,0.0031954772025196945
BUREAU_BB_MONTHS_BALANCE_COUNT_MAX,0.003133431998923179
FLAG_DOCUMENT_18,0.003113100136816616
PREV_DAYS_TERMINATION_MEAN,0.003070324238445447
PREV_HOUR_APPR_PROCESS_START_MIN,0.0030172082163433195
PREV_DAYS_LAST_DUE_MIN,0.002998710201860829
NAME_FAMILY_STATUS_Widow,0.002977613956856023
OCCUPATION_TYPE_High_skill_tech_staff,0.0029745931761262865
INST_AMT_INSTALMENT_MEAN,0.0029403195498271927
PREV_DAYS_FIRST_DUE_MIN,0.002925580437556674
YEARS_BEGINEXPLUATATION_MODE,0.002874550666217699
PREV_HOUR_APPR_PROCESS_START_MAX,0.0028704671276306637
BUREAU_AMT_ANNUITY_MAX,0.0028247482144670615
INST_NUM_INSTALMENT_VERSION_MIN,0.0027916470767992523
LIVINGAREA_MEDI,0.0027749331963186925
NAME_HOUSING_TYPE_Office_apartment,0.002735620790704721
LIVINGAREA_AVG,0.0027038814033268133
FLOORSMAX_AVG,0.002686382348977672
BASEMENTAREA_AVG,0.002686329838546052
INST_PAYMENT_DIFF_MIN,0.0026736933706982976
LIVINGAREA_MODE,0.0026161860260430466
INST_DAYS_ENTRY_PAYMENT_COUNT,0.0026024974922143405
PREV_DAYS_FIRST_DRAWING_MIN,0.0025195830407456683
PREV_AMT_APPLICATION_SUM,0.0024919930897929444
FLOORSMIN_MEDI,0.002489711393519123
BUREAU_AMT_CREDIT_SUM_DEBT_COUNT,0.0024760093147266696
BUREAU_BB_MONTHS_BALANCE_MAX_MEAN,0.0024599102022533265
INST_NUM_INSTALMENT_NUMBER_COUNT,0.002441543737630661
ORGANIZATION_TYPE_Police,0.002411061668164109
BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,0.002400414924200437
NAME_EDUCATION_TYPE_Incomplete_higher,0.002372339751758396
NONLIVINGAREA_AVG,0.002362090011159383
BUREAU_BB_MONTHS_BALANCE_COUNT_MIN,0.002334690990956856
PREV_DAYS_TERMINATION_MAX,0.002322402985029249
AMT_REQ_CREDIT_BUREAU_MON,0.0022619565713542615
BUREAU_BB_MONTHS_BALANCE_SUM_SUM,0.0022589557360053404
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0022500548847858067
ORGANIZATION_TYPE_Military,0.002202224447012325
NONLIVINGAPARTMENTS_AVG,0.002196803176260891
FLAG_OWN_REALTY_N,0.002065600480645007
BUREAU_BB_MONTHS_BALANCE_MEAN_MEAN,0.0020649523205310944
YEARS_BUILD_AVG,0.0020547261210536274
YEARS_BUILD_MODE,0.0020195453520938703
LIVINGAPARTMENTS_MODE,0.0019611553310570173
PREV_AMT_APPLICATION_MIN,0.0019390165481932183
PREV_DAYS_TERMINATION_MIN,0.0019221022904456994
LIVINGAPARTMENTS_AVG,0.0019100544999261831
PREV_AMT_DOWN_PAYMENT_MIN,0.0018958160831400465
BUREAU_BB_MONTHS_BALANCE_SUM_MEAN,0.0018793405497139043
ORGANIZATION_TYPE_Security_Ministries,0.001807696394929209
BUREAU_BB_MONTHS_BALANCE_MIN_MAX,0.0017869614875153357
NONLIVINGAREA_MODE,0.0017503582077552128
BASEMENTAREA_MEDI,0.0017448441839648342
BUREAU_BB_MONTHS_BALANCE_MEAN_SUM,0.0017012087972520056
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,0.0016781329146268618
YEARS_BUILD_MEDI,0.0016756815327825226
LANDAREA_MODE,0.0016683647040736471
COMMONAREA_MODE,0.0016488517142731105
ELEVATORS_AVG,0.0016311982982070358
FLAG_DOCUMENT_13,0.001594865453271605
OBS_30_CNT_SOCIAL_CIRCLE,0.0015911896865675231
REGION_RATING_CLIENT,0.0015570681346712546
AMT_REQ_CREDIT_BUREAU_YEAR,0.0015354708300034194
BUREAU_AMT_CREDIT_MAX_OVERDUE_COUNT,0.0015239114910397906
COMMONAREA_MEDI,0.0014930119544955933
ORGANIZATION_TYPE_Trade__type_2,0.0014926234336176576
BASEMENTAREA_MODE,0.001488181077838103
BUREAU_DAYS_ENDDATE_FACT_COUNT,0.0014816077395076223
REG_REGION_NOT_LIVE_REGION,0.0014787189025637438
AMT_REQ_CREDIT_BUREAU_WEEK,0.0014679342699487163
FLOORSMIN_AVG,0.0014677541453003411
ENTRANCES_AVG,0.001439266672970115
LANDAREA_AVG,0.0014355503189318892
PREV_CNT_PAYMENT_MIN,0.0014325229722947658
BUREAU_BB_MONTHS_BALANCE_MAX_SUM,0.0014246783271960391
ENTRANCES_MEDI,0.001402627259226216
PREV_REFUSED_COUNT,0.0013859899407010273
BUREAU_BB_MONTHS_BALANCE_SUM_MAX,0.0013767073577744882
OCCUPATION_TYPE_Security_staff,0.0013696194859847848
NONLIVINGAREA_MEDI,0.0013612259213999648
COMMONAREA_AVG,0.0013582880608537114
BUREAU_BB_MONTHS_BALANCE_MAX_MIN,0.0013556703234397006
BUREAU_AMT_ANNUITY_SUM,0.0013451248005564187
BUREAU_AMT_CREDIT_MAX_OVERDUE_MIN,0.0013437938831658376
BUREAU_DAYS_CREDIT_COUNT,0.0013305432277122017
ENTRANCES_MODE,0.001275540106039859
PREV_AMT_DOWN_PAYMENT_COUNT,0.0012752853993269271
INST_IS_LATE_SUM,0.0012348330918299896
OCCUPATION_TYPE_Low-skill_Laborers,0.001213312422508241
NAME_EDUCATION_TYPE_Lower_secondary,0.001157261702099127
LANDAREA_MEDI,0.001140944993973869
ELEVATORS_MEDI,0.0011036062478005674
PREV_AMT_GOODS_PRICE_SUM,0.0010858567349164194
BUREAU_BB_MONTHS_BALANCE_MIN_SUM,0.0009646013321013924
ORGANIZATION_TYPE_Transport__type_3,0.0009617510989241899
FLOORSMAX_MEDI,0.000928246750196962
PREV_NFLAG_INSURED_ON_APPROVAL_SUM,0.0008977128005113551
PREV_APPROVED_COUNT,0.0008951263827607468
BUREAU_CNT_CREDIT_PROLONG_MAX,0.0008914941776132593
BUREAU_BB_MONTHS_BALANCE_MEAN_MAX,0.00088383839470927
BUREAU_AMT_ANNUITY_MIN,0.0008693736865342538
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,0.0008270899509356649
FLAG_EMP_PHONE,0.0008068488066254213
NAME_HOUSING_TYPE_Rented_apartment,0.0008059411744406163
BUREAU_BB_MONTHS_BALANCE_MIN_MIN,0.0007829071119676021
PREV_AMT_APPLICATION_COUNT,0.0007737147103823073
NAME_INCOME_TYPE_Pensioner,0.0007669760937719774
FLOORSMAX_MODE,0.0007344958545179775
BUREAU_BB_MONTHS_BALANCE_MEAN_COUNT,0.0006439750244064513
OCCUPATION_TYPE_Private_service_staff,0.0006436058044756897
FLAG_DOCUMENT_11,0.0006364686412565966
NONLIVINGAPARTMENTS_MEDI,0.0006327121804508772
PREV_DAYS_FIRST_DRAWING_COUNT,0.0006280170174994459
FLAG_DOCUMENT_14,0.0006261454474706888
FLAG_OWN_CAR_N,0.0006207961611123544
ORGANIZATION_TYPE_Industry__type_12,0.0005986375474983093
NONLIVINGAPARTMENTS_MODE,0.0005550219547394132
FLAG_DOCUMENT_15,0.0005409754326789986
BUREAU_BB_MONTHS_BALANCE_MAX_COUNT,0.0005257329314708303
FLOORSMIN_MODE,0.0005257049678364049
PREV_AMT_ANNUITY_COUNT,0.0004763738547034812
BUREAU_AMT_CREDIT_SUM_LIMIT_MIN,0.0004522687584668728
NAME_TYPE_SUITE_Unaccompanied,0.00045033661730248785
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0004369691224332181
ORGANIZATION_TYPE_Realtor,0.00043503806413265264
BUREAU_CNT_CREDIT_PROLONG_MEAN,0.00043066985877427875
FLAG_OWN_REALTY_Y,0.00042050397230363205
BUREAU_CREDIT_DAY_OVERDUE_COUNT,0.0004114739332101183
INST_AMT_PAYMENT_COUNT,0.00039964596391849495
INST_DAYS_INSTALMENT_COUNT,0.00039514699757987686
ELEVATORS_MODE,0.00038521389657410177
PREV_AMT_GOODS_PRICE_COUNT,0.0003842980899132212
CNT_FAM_MEMBERS,0.0003718643805140399
FLAG_OWN_CAR_Y,0.000363379026006973
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,0.00034700618888152036
EMERGENCYSTATE_MODE_No,0.00034421829461789153
PREV_RATE_DOWN_PAYMENT_COUNT,0.0003202546645024603
BUREAU_BB_MONTHS_BALANCE_MAX_MAX,0.0003048549957358851
OCCUPATION_TYPE_nan,0.000299346990482407
FONDKAPREMONT_MODE_reg_oper_spec_account,0.0002848848238914857
CNT_CHILDREN,0.00028240432523405794
HOUSETYPE_MODE_block_of_flats,0.00026958690430461913
ORGANIZATION_TYPE_Industry__type_11,0.0002543972723893997
NAME_INCOME_TYPE_Commercial_associate,0.00024766283871445
REG_CITY_NOT_WORK_CITY,0.0002459225927497289
LIVE_CITY_NOT_WORK_CITY,0.00022831726338980637
ORGANIZATION_TYPE_Services,0.00022741317751218327
FLAG_DOCUMENT_8,0.00021611057309674976
INST_PAYMENT_DIFF_COUNT,0.0002132753708615633
PREV_CNT_PAYMENT_COUNT,0.00020496730000114338
