feature,gain
BUREAU_CREDIT_DAY_OVERDUE_COUNT,416.6115951538086
WEEKDAY_APPR_PROCESS_START_FRIDAY,406.67269134521484
WEEKDAY_APPR_PROCESS_START_MONDAY,356.95400047302246
OCCUPATION_TYPE_Sales_staff,352.421199798584
ORGANIZATION_TYPE_Government,337.11340713500977
NAME_TYPE_SUITE_Family,336.4699020385742
NAME_EDUCATION_TYPE_Incomplete_higher,321.8815002441406
PREV_RATE_INTEREST_PRIMARY_MAX,316.6897964477539
FLAG_DOCUMENT_11,315.9582939147949
PREV_NFLAG_LAST_APPL_IN_DAY_SUM,301.9887008666992
PREV_CNT_PAYMENT_COUNT,297.0632972717285
NAME_EDUCATION_TYPE_Lower_secondary,278.15329933166504
PREV_AMT_CREDIT_COUNT,271.16269302368164
FONDKAPREMONT_MODE_reg_oper_spec_account,264.6205062866211
PREV_DAYS_FIRST_DUE_COUNT,261.00059509277344
WEEKDAY_APPR_PROCESS_START_THURSDAY,259.4912986755371
ORGANIZATION_TYPE_Industry__type_11,258.70169830322266
NAME_FAMILY_STATUS_Widow,256.9203987121582
INST_AMT_PAYMENT_COUNT,248.30020141601562
FONDKAPREMONT_MODE_reg_oper_account,247.04880142211914
PREV_RATE_DOWN_PAYMENT_COUNT,229.4733009338379
FLAG_DOCUMENT_6,221.8906021118164
FLAG_EMAIL,213.73809814453125
NAME_HOUSING_TYPE_Municipal_apartment,210.98609161376953
WEEKDAY_APPR_PROCESS_START_TUESDAY,209.57410049438477
FONDKAPREMONT_MODE_org_spec_account,208.82560348510742
OCCUPATION_TYPE_nan,204.75559616088867
INST_PAYMENT_DIFF_COUNT,197.81949615478516
BUREAU_CNT_CREDIT_PROLONG_SUM,190.4603042602539
ORGANIZATION_TYPE_Business_Entity_Type_1,171.87129974365234
FONDKAPREMONT_MODE_not_specified,157.9072036743164
OCCUPATION_TYPE_Managers,157.2860984802246
NAME_FAMILY_STATUS_Separated,156.95790100097656
FLAG_DOCUMENT_14,154.0076026916504
